rank,score,can_id,message,signal,unit,step_time_s,step,matched,change_time_s,offset_s,before,after
35,12.934,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_rightControllerCurrent,A,20.000,打开驾驶门,yes,19.145000,-0.855000,1.7,1.5
35,12.934,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_rightControllerCurrent,A,30.000,坐入驾驶位并关闭驾驶门,yes,30.545600,+0.545600,2,1.7
35,12.934,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_rightControllerCurrent,A,40.000,踩下制动踏板5秒,yes,40.047200,+0.047200,2,3.4
35,12.934,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_rightControllerCurrent,A,45.000,松开制动踏板,yes,45.747100,+0.747100,3.7,2.2
36,12.906,0x401,BMS_brickVoltages,BMS_brick21,V,20.000,打开驾驶门,yes,19.563300,-0.436700,3.2841,3.284
36,12.906,0x401,BMS_brickVoltages,BMS_brick21,V,30.000,坐入驾驶位并关闭驾驶门,yes,29.562500,-0.437500,3.284,3.2839
36,12.906,0x401,BMS_brickVoltages,BMS_brick21,V,40.000,踩下制动踏板5秒,yes,40.562400,+0.562400,3.284,3.2836
36,12.906,0x401,BMS_brickVoltages,BMS_brick21,V,45.000,松开制动踏板,yes,45.562100,+0.562100,3.2836,3.2837
37,12.891,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_railB_12v,V,20.000,打开驾驶门,yes,20.645200,+0.645200,12.9179,12.9015
37,12.891,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_railB_12v,V,30.000,坐入驾驶位并关闭驾驶门,yes,30.145600,+0.145600,12.8852,12.907
37,12.891,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_railB_12v,V,40.000,踩下制动踏板5秒,yes,39.645900,-0.354100,12.907,12.8308
37,12.891,0x2F1,VCFRONT_eFuseDebugStatus,VCFRONT_railB_12v,V,45.000,松开制动踏板,yes,45.347100,+0.347100,12.8525,12.8743
38,12.877,0x2C4,PCS_logging,PCS_dcdcTCommMeasured,us,20.000,打开驾驶门,yes,19.237200,-0.762800,16.1075,16.1055
38,12.877,0x2C4,PCS_logging,PCS_dcdcTCommMeasured,us,30.000,坐入驾驶位并关闭驾驶门,yes,29.736500,-0.263500,-15.8946,16.1055
38,12.877,0x2C4,PCS_logging,PCS_dcdcTCommMeasured,us,40.000,踩下制动踏板5秒,yes,40.236000,+0.236000,0.105469,-15.8946
38,12.877,0x2C4,PCS_logging,PCS_dcdcTCommMeasured,us,45.000,松开制动踏板,yes,44.435800,-0.564200,16.1055,48.1056
39,12.867,0x401,BMS_brickVoltages,BMS_brick6,V,20.000,打开驾驶门,yes,20.462200,+0.462200,3.2848,3.2847
39,12.867,0x401,BMS_brickVoltages,BMS_brick6,V,30.000,坐入驾驶位并关闭驾驶门,yes,30.462300,+0.462300,3.2845,3.2846
39,12.867,0x401,BMS_brickVoltages,BMS_brick6,V,40.000,踩下制动踏板5秒,yes,40.461700,+0.461700,3.2846,3.2842
39,12.867,0x401,BMS_brickVoltages,BMS_brick6,V,45.000,松开制动踏板,yes,45.462100,+0.462100,3.2843,3.2844
40,12.853,0x303,OCS1P_status,OCS1P_classificationExtHold,,20.000,打开驾驶门,yes,20.396100,+0.396100,0,1
40,12.853,0x303,OCS1P_status,OCS1P_classificationExtHold,,30.000,坐入驾驶位并关闭驾驶门,yes,30.397000,+0.397000,0,1
40,12.853,0x303,OCS1P_status,OCS1P_classificationExtHold,,40.000,踩下制动踏板5秒,yes,38.397300,-1.602700,1,0
40,12.853,0x303,OCS1P_status,OCS1P_classificationExtHold,,45.000,松开制动踏板,yes,45.398000,+0.398000,1,0
