rank,score,category,can_id,dlc,byte,bit_in_byte,closed_value,open_value,stable_purity,action_hits,unrelated_transitions,median_delay_s
166,37.000,瞬时请求候选,0x52F,8,5,0,不一致,1,0.5500,6,55,0.871900
167,36.800,瞬时请求候选,0x324,8,0,7,1,1,0.5500,5,16,-0.155200
168,36.800,瞬时请求候选,0x359,8,2,5,0,0,0.9625,6,56,0.907300
169,36.800,瞬时请求候选,0x3BD,8,1,1,1,1,0.6250,6,56,0.842850
170,36.800,瞬时请求候选,0x400,7,2,5,不一致,不一致,0.8750,5,16,0.436600
171,36.600,瞬时请求候选,0x359,8,2,1,0,0,0.9250,6,57,0.807300
172,36.600,瞬时请求候选,0x359,8,3,2,0,0,0.9250,6,57,0.707300
173,36.600,瞬时请求候选,0x359,8,3,5,0,0,0.9250,6,57,0.707300
174,36.400,瞬时请求候选,0x23A,8,0,2,不一致,1,0.5250,5,18,-0.208400
175,36.400,瞬时请求候选,0x352,8,6,5,1,1,0.7000,6,58,0.102250
176,36.400,瞬时请求候选,0x359,8,0,6,0,0,0.7725,6,58,0.408350
177,36.400,瞬时请求候选,0x3B2,8,0,2,1,0,0.5642,6,58,0.402500
178,36.400,瞬时请求候选,0x3F2,8,3,5,不一致,0,0.5750,6,58,-0.242700
179,36.400,瞬时请求候选,0x709,8,3,6,0,0,0.8345,6,58,0.701700
180,36.200,瞬时请求候选,0x321,8,7,4,不一致,1,0.5250,6,59,-0.057200
181,36.200,瞬时请求候选,0x359,8,0,4,0,0,0.8100,6,59,0.708000
182,36.200,瞬时请求候选,0x359,8,0,5,0,0,0.8475,6,59,0.808300
183,36.200,瞬时请求候选,0x37D,8,6,5,不一致,1,0.6000,6,59,0.587350
184,36.200,瞬时请求候选,0x70B,8,3,0,0,0,0.7250,5,19,0.966900
185,36.200,瞬时请求候选,0x737,7,0,0,不一致,0,0.6000,6,59,0.344500
186,36.200,瞬时请求候选,0x752,8,3,4,0,0,0.8500,5,19,0.095000
187,36.200,瞬时请求候选,0x752,8,3,6,0,0,0.7000,5,19,0.095000
188,36.200,瞬时请求候选,0x7C8,8,3,2,0,0,0.8500,5,19,0.531000
189,36.200,瞬时请求候选,0x7C8,8,6,5,0,0,0.8500,5,19,0.531000
190,36.200,瞬时请求候选,0x7C8,8,6,6,0,0,0.8500,5,19,0.531000
191,36.000,瞬时请求候选,0x7C8,8,6,0,0,0,0.7250,5,20,1.529200
192,36.000,瞬时请求候选,0x7C8,8,6,1,0,0,0.7250,5,20,1.529200
193,36.000,瞬时请求候选,0x7C8,8,6,4,0,0,0.7250,5,20,1.529200
194,35.800,瞬时请求候选,0x324,8,0,3,不一致,0,0.7250,5,21,0.836000
195,35.600,瞬时请求候选,0x301,8,0,3,0,不一致,0.7000,5,22,0.543400
196,35.600,瞬时请求候选,0x302,8,0,3,0,不一致,0.7000,5,22,0.564800
197,35.600,瞬时请求候选,0x303,8,0,3,0,不一致,0.7000,5,22,0.636800
198,35.600,瞬时请求候选,0x7C8,8,1,2,1,1,0.5750,6,62,0.529300
199,35.400,瞬时请求候选,0x295,8,7,3,0,0,0.5829,5,23,0.535800
200,35.400,瞬时请求候选,0x300,8,1,1,0,0,0.8250,5,23,0.755500
201,35.400,瞬时请求候选,0x300,8,4,3,0,不一致,0.6750,5,23,-0.243900
202,35.400,瞬时请求候选,0x300,8,4,4,0,不一致,0.6750,5,23,-0.243900
203,35.400,瞬时请求候选,0x300,8,4,6,0,不一致,0.6750,5,23,-0.243900
204,35.400,瞬时请求候选,0x300,8,5,2,0,0,0.8250,5,23,0.755500
205,35.400,瞬时请求候选,0x300,8,5,4,0,0,0.8250,5,23,0.755500
206,35.400,瞬时请求候选,0x300,8,5,6,0,0,0.8250,5,23,0.755500
207,35.400,瞬时请求候选,0x300,8,5,7,0,0,0.8250,5,23,0.755500
208,35.400,瞬时请求候选,0x300,8,6,2,0,0,0.8250,5,23,0.755500
209,35.400,瞬时请求候选,0x300,8,7,0,0,不一致,0.6750,5,23,-0.243900
210,35.400,瞬时请求候选,0x300,8,7,4,0,0,0.8250,5,23,0.755500
211,35.400,瞬时请求候选,0x300,8,7,7,0,不一致,0.6750,5,23,-0.243900
212,35.400,瞬时请求候选,0x3F2,8,5,5,0,0,0.7000,5,23,0.756900
213,35.400,瞬时请求候选,0x7E8,8,1,2,1,1,0.5750,6,63,0.025700
214,35.400,瞬时请求候选,0x7E8,8,3,6,0,1,0.5750,6,63,0.025700
215,35.400,瞬时请求候选,0x7E8,8,3,7,0,1,0.5750,6,63,0.025700
216,35.200,瞬时请求候选,0x295,8,7,2,0,0,0.7086,5,24,0.738700
217,35.200,瞬时请求候选,0x319,8,0,0,1,不一致,0.5500,6,64,0.073350
218,35.200,瞬时请求候选,0x3F2,8,5,2,0,0,0.6500,5,24,0.756500
219,35.200,瞬时请求候选,0x7C8,8,2,3,不一致,0,0.5750,6,64,0.530650
220,35.200,瞬时请求候选,0x7C8,8,3,4,1,0,0.5500,6,64,0.529300
221,35.200,瞬时请求候选,0x7E8,8,4,2,1,1,0.5500,6,64,0.025700
222,35.200,瞬时请求候选,0x7E8,8,4,5,1,1,0.5500,6,64,0.025700
223,35.200,瞬时请求候选,0x7E8,8,5,0,不一致,1,0.5500,6,64,0.026450
224,35.000,瞬时请求候选,0x332,6,4,5,不一致,1,0.5250,6,65,-0.244300
225,35.000,瞬时请求候选,0x752,8,7,3,0,0,0.8500,5,25,0.095100
226,34.850,周期字段（降权）,0x1FA,3,0,5,0,1,1.0000,3,1,0.545800
227,34.800,瞬时请求候选,0x330,8,3,0,0,0,0.7333,5,26,0.166000
228,34.800,瞬时请求候选,0x332,6,5,5,1,1,0.5000,6,66,-0.244250
229,34.800,瞬时请求候选,0x3DD,8,0,0,不一致,不一致,0.5500,6,66,0.588750
230,34.800,瞬时请求候选,0x52F,8,6,1,不一致,1,0.5750,6,66,0.372600
231,34.800,瞬时请求候选,0x752,8,1,5,0,0,0.8000,5,26,0.094300
232,34.800,瞬时请求候选,0x7E8,8,2,3,0,1,0.5750,6,66,0.026450
233,34.600,瞬时请求候选,0x330,8,2,0,不一致,0,0.5905,5,27,0.166000
234,34.600,瞬时请求候选,0x330,8,4,2,0,0,0.7095,5,27,0.164100
235,34.600,瞬时请求候选,0x332,6,0,5,1,1,0.5250,6,67,-0.244300
236,34.600,瞬时请求候选,0x332,6,4,1,1,1,0.5000,6,67,-0.244300
237,34.600,瞬时请求候选,0x332,6,4,6,1,1,0.5000,6,67,-0.244300
238,34.600,瞬时请求候选,0x752,8,4,1,0,0,0.7000,5,27,0.095000
239,34.400,瞬时请求候选,0x330,8,0,0,不一致,0,0.6714,5,28,0.164100
240,34.400,瞬时请求候选,0x330,8,1,0,1,1,0.7333,5,28,0.164100
241,34.400,瞬时请求候选,0x330,8,6,5,1,1,0.5857,5,28,0.164100
242,34.400,瞬时请求候选,0x330,8,7,2,0,0,0.7905,5,28,1.414400
243,34.400,瞬时请求候选,0x3B2,8,1,5,0,不一致,0.6570,6,68,1.103250
244,34.400,瞬时请求候选,0x70B,8,4,4,0,0,0.8250,5,28,1.967100
245,34.200,瞬时请求候选,0x2C4,8,2,6,0,0,0.9500,6,69,0.202800
246,34.200,瞬时请求候选,0x310,8,4,0,1,1,0.6000,5,29,1.172400
247,34.200,瞬时请求候选,0x330,8,4,1,0,不一致,0.5905,5,29,0.166000
248,34.200,瞬时请求候选,0x330,8,7,0,0,0,0.7048,5,29,1.414500
249,34.200,瞬时请求候选,0x726,3,0,0,1,不一致,0.5250,6,69,0.706200
250,34.000,瞬时请求候选,0x2C4,8,0,4,0,0,0.6650,6,70,0.205450
251,34.000,瞬时请求候选,0x310,8,2,0,0,0,0.7200,5,30,1.172400
252,34.000,瞬时请求候选,0x310,8,2,5,0,0,0.7200,5,30,1.172400
253,34.000,瞬时请求候选,0x310,8,2,6,0,0,0.7200,5,30,1.172400
254,34.000,瞬时请求候选,0x310,8,6,0,0,0,0.7200,5,30,1.172400
255,34.000,瞬时请求候选,0x330,8,1,3,不一致,0,0.6429,5,30,1.414400
256,34.000,瞬时请求候选,0x330,8,1,6,不一致,不一致,0.5905,5,30,1.414400
257,34.000,瞬时请求候选,0x330,8,7,5,不一致,0,0.6429,5,30,1.414400
258,34.000,瞬时请求候选,0x400,7,2,4,1,不一致,0.8800,5,30,0.037500
259,34.000,瞬时请求候选,0x737,7,0,1,不一致,0,0.6000,5,30,0.344200
