session_id,can_id,field,expected_on_direction,on_event_s,on_transition_s,on_before,on_after,on_direction_match,on_delay_s,expected_off_direction,off_event_s,off_transition_s,off_before,off_after,off_direction_match,off_delay_s,total_full_session_transitions
S0017,0x282,B5.b0,1->0,60.076215,60.6381,1,0,True,0.561885,0->1,160.033218,160.4448,0,1,True,0.411582,4
S0017,0x282,B5.b1,1->0,60.076215,60.6381,1,0,True,0.561885,0->1,160.033218,160.4448,0,1,True,0.411582,4
S0017,0x282,B5.b2,0->1,60.076215,60.6381,0,1,True,0.561885,1->0,160.033218,160.4448,1,0,True,0.411582,4
S0017,0x282,B6.b3,1->0,60.076215,60.9384,1,0,True,0.862185,0->1,160.033218,160.5447,0,1,True,0.511482,8
S0017,0x282,B6.b4,0->1,60.076215,60.9384,0,1,True,0.862185,1->0,160.033218,160.5447,1,0,True,0.511482,6
S0017,0x289,B1.b4,0->1,60.076215,60.9541,0,1,True,0.877885,1->0,160.033218,160.46,1,0,True,0.426782,4
S0017,0x289,B2.b3,0->1,60.076215,61.1541,0,1,True,1.077885,1->0,160.033218,160.46,1,0,True,0.426782,4
S0017,0x289,B3.b2,0->1,60.076215,60.9541,0,1,True,0.877885,1->0,160.033218,160.46,1,0,True,0.426782,6
S0017,0x2A1,B5.b0,0->1,60.076215,63.8989,0,1,True,3.822685,1->0,160.033218,160.905,1,0,True,0.871782,2
S0017,0x2A6,B0.b6,0->1,60.076215,64.2267,0,1,True,4.150485,1->0,160.033218,160.926,1,0,True,0.892782,10
S0017,0x2A7,B7.b0,0->1,60.076215,64.427,0,1,True,4.350785,1->0,160.033218,160.9267,1,0,True,0.893482,2
S0017,0x2A7,B7.b2,1->0,60.076215,64.427,1,0,True,4.350785,0->1,160.033218,160.9267,0,1,True,0.893482,2
S0017,0x2BF,B5.b3,0->1,60.076215,63.9877,0,1,True,3.911485,1->0,160.033218,160.9953,1,0,True,0.962082,2
S0017,0x2BF,B5.b4,0->1,60.076215,60.988,0,1,True,0.911785,1->0,160.033218,160.9953,1,0,True,0.962082,2
S0017,0x2F3,B3.b2,0->1,60.076215,60.0152,0,1,True,-0.061015,1->0,160.033218,159.9164,1,0,True,-0.116818,2
S0017,0x323,B4.b1,1->0,60.076215,61.8583,1,0,True,1.782085,0->1,160.033218,161.8635,0,1,True,1.830282,2
S0017,0x323,B4.b2,0->1,60.076215,61.8583,0,1,True,1.782085,1->0,160.033218,161.8635,1,0,True,1.830282,2
S0017,0x361,B3.b1,1->0,60.076215,61.7869,1,0,True,1.710685,0->1,160.033218,160.7953,0,1,True,0.762082,2
S0017,0x361,B3.b2,0->1,60.076215,61.7869,0,1,True,1.710685,1->0,160.033218,160.7953,1,0,True,0.762082,2
S0017,0x361,B4.b0,1->0,60.076215,61.7869,1,0,True,1.710685,0->1,160.033218,161.7953,0,1,True,1.762082,4
S0017,0x361,B4.b1,0->1,60.076215,61.7869,0,1,True,1.710685,1->0,160.033218,161.7953,1,0,True,1.762082,2
S0017,0x421,B0.b4,0->1,60.076215,64.6866,0,1,True,4.610385,1->0,160.033218,,,,False,,2
