profile,role,score,can_id,byte,bit_in_byte,dbc_message,activity_enrichment,event_coverage,event_hits,event_total,inside_transitions,outside_transitions,period_cv
window,按钮事件:手动未知方向松开,72.304,0x3DD,4,5,,4.286091046918376,1.0,2,2,3,21,0.9622976116549242
generic-event,事件附近变化,72.261,0x1D8,7,1,DIS_torque,4.299591160792791,1.0,2,2,151,1101,14.03886472590614
window,按钮事件:手动未知方向松开,72.261,0x1D8,7,1,DIS_torque,4.299591160792791,1.0,2,2,151,1101,14.03886472590614
generic-event,事件附近变化,72.081,0x373,1,3,EPAS3P_sysStatus,5.226315813125794,1.0,2,2,4,23,2.244703461053758
window,按钮事件:手动未知方向松开,72.081,0x373,1,3,EPAS3P_sysStatus,5.226315813125794,1.0,2,2,4,23,2.244703461053758
generic-event,事件附近变化,71.935,0x126,0,3,DI_hvBusStatus,4.186152959180957,1.0,2,2,10,74,3.548563851100205
window,按钮事件:手动未知方向松开,71.935,0x126,0,3,DI_hvBusStatus,4.186152959180957,1.0,2,2,10,74,3.548563851100205
generic-event,事件附近变化,71.797,0x266,0,0,DI_power,4.249620161963694,1.0,2,2,39,287,7.285423139764198
window,按钮事件:手动未知方向松开,71.797,0x266,0,0,DI_power,4.249620161963694,1.0,2,2,39,287,7.285423139764198
generic-event,事件附近变化,71.777,0x126,1,3,DI_hvBusStatus,5.14290830361431,1.0,2,2,10,60,3.8504412140412767
window,按钮事件:手动未知方向松开,71.777,0x126,1,3,DI_hvBusStatus,5.14290830361431,1.0,2,2,10,60,3.8504412140412767
generic-event,事件附近变化,71.706,0x266,0,1,DI_power,4.592497679832259,1.0,2,2,18,122,5.527231578108951
window,按钮事件:手动未知方向松开,71.706,0x266,0,1,DI_power,4.592497679832259,1.0,2,2,18,122,5.527231578108951
generic-event,事件附近变化,71.647,0x266,4,0,DI_power,4.075549834970776,1.0,2,2,50,384,8.281533101394093
window,按钮事件:手动未知方向松开,71.647,0x266,4,0,DI_power,4.075549834970776,1.0,2,2,50,384,8.281533101394093
