event_id,event_time_s,signal_key,can_id,value,native_sample_time_s,sample_age_s,sampling_rule
E11,555.426200,HVP_packContNegativeState,0x20A,ECONOMIZED,555.324000,0.102200,latest past sample; never future fill
E11,555.426200,HVP_packContPositiveState,0x20A,ECONOMIZED,555.324000,0.102200,latest past sample; never future fill
E11,555.426200,PCS_dcdcMainState,0x224,STANDBY,555.372400,0.053800,latest past sample; never future fill
E11,555.426200,PCS_dcdc12VSupportStatus,0x224,ACTIVE,555.372400,0.053800,latest past sample; never future fill
E11,555.426200,PCS_dcdcLvBusVolt,0x2B4,12.773438,555.373200,0.053000,latest past sample; never future fill
E12,599.999600,VCLEFT_frontLatchStatus,0x102,CLOSED,599.921300,0.078300,latest past sample; never future fill
E12,599.999600,UI_readyForDrive,0x353,1,599.426200,0.573400,latest past sample; never future fill
E12,599.999600,BMS_hvState,0x212,DOWN,599.976200,0.023400,latest past sample; never future fill
E12,599.999600,BMS_contactorState,0x212,CLOSED,599.976200,0.023400,latest past sample; never future fill
E12,599.999600,BMS_packVoltage,0x132,353.36,599.998500,0.001100,latest past sample; never future fill
E12,599.999600,PCS_dcdcHvBusVolt,0x2B4,178.271484,599.970900,0.028700,latest past sample; never future fill
E12,599.999600,HVP_hvilStatus,0x20A,STATUS_OK,599.324500,0.675100,latest past sample; never future fill
E12,599.999600,HVP_packContNegativeState,0x20A,ECONOMIZED,599.324500,0.675100,latest past sample; never future fill
E12,599.999600,HVP_packContPositiveState,0x20A,ECONOMIZED,599.324500,0.675100,latest past sample; never future fill
E12,599.999600,PCS_dcdcMainState,0x224,STANDBY,599.970500,0.029100,latest past sample; never future fill
E12,599.999600,PCS_dcdc12VSupportStatus,0x224,ACTIVE,599.970500,0.029100,latest past sample; never future fill
E12,599.999600,PCS_dcdcLvBusVolt,0x2B4,12.929688,599.970900,0.028700,latest past sample; never future fill
