signal,time_s,value
BMS_packVoltage,6.1716,347.11
BMS_packVoltage,6.1818,347.28000000000003
BMS_packVoltage,6.1916,347.42
BMS_packVoltage,6.2016,347.2
BMS_packVoltage,6.2116,347.27
BMS_packVoltage,6.2216,347.25
BMS_packVoltage,6.2317,347.19
BMS_packVoltage,6.2417,347.13
BMS_packVoltage,6.2516,347.21
BMS_packVoltage,6.2616,347.17
BMS_packVoltage,6.2716,347.19
BMS_packVoltage,6.2818,347.13
BMS_packVoltage,6.2916,347.25
BMS_packVoltage,6.3016,347.32
BMS_packVoltage,6.3116,347.39
BMS_packVoltage,6.3216,347.25
BMS_packVoltage,6.3316,347.11
BMS_packVoltage,6.3419,347.21
BMS_packVoltage,6.3516,347.33
BMS_packVoltage,6.3617,347.25
BMS_packVoltage,6.3716,347.26
BMS_packVoltage,6.3818,347.32
BMS_packVoltage,6.3916,347.21
BMS_packVoltage,6.4016,347.12
BMS_packVoltage,6.4116,347.32
BMS_packVoltage,6.4216,347.27
BMS_packVoltage,6.4317,347.17
BMS_packVoltage,6.4416,347.2
BMS_packVoltage,6.4516,347.2
BMS_packVoltage,6.4616,347.23
BMS_packVoltage,6.4716,347.31
BMS_packVoltage,6.4818,347.26
BMS_packVoltage,6.492,347.16
BMS_packVoltage,6.5019,347.21
BMS_packVoltage,6.5118,347.33
BMS_packVoltage,6.5216,347.15000000000003
BMS_packVoltage,6.5316,347.27
BMS_packVoltage,6.5416,347.25
BMS_packVoltage,6.5516,347.2
BMS_packVoltage,6.5617,347.28000000000003
BMS_packVoltage,6.5716,347.36
BMS_packVoltage,6.5818,347.28000000000003
BMS_packVoltage,6.5916,347.11
BMS_packVoltage,6.6016,347.38
BMS_packVoltage,6.6116,347.23
BMS_packVoltage,6.6216,347.2
BMS_packVoltage,6.6316,347.15000000000003
BMS_packVoltage,6.6416,347.14
BMS_packVoltage,6.6516,347.08
BMS_packVoltage,6.6617,347.19
BMS_packVoltage,6.6716,347.15000000000003
BMS_packVoltage,6.6818,347.23
BMS_packVoltage,6.6916,347.29
BMS_packVoltage,6.7016,347.16
BMS_packVoltage,6.7116,347.18
BMS_packVoltage,6.7216,347.2
BMS_packVoltage,6.7316,347.27
BMS_packVoltage,6.7416,347.26
BMS_packVoltage,6.7516,347.35
BMS_packVoltage,6.7617,347.23
BMS_packVoltage,6.7716,347.24
BMS_packVoltage,6.7818,347.33
BMS_packVoltage,6.7916,347.15000000000003
BMS_packVoltage,6.8016,347.19
BMS_packVoltage,6.8116,347.24
BMS_packVoltage,6.8216,347.19
BMS_packVoltage,6.8316,347.26
BMS_packVoltage,6.8417,347.2
BMS_packVoltage,6.8516,347.38
BMS_packVoltage,6.8616,347.23
BMS_packVoltage,6.8716,347.21
BMS_packVoltage,6.8816,347.39
BMS_packVoltage,6.8918,347.26
BMS_packVoltage,6.9016,347.12
BMS_packVoltage,6.9116,347.19
BMS_packVoltage,6.9216,347.27
BMS_packVoltage,6.9316,347.21
BMS_packVoltage,6.9416,347.27
BMS_packVoltage,6.9516,347.28000000000003
BMS_packVoltage,6.9617,347.29
BMS_packVoltage,6.9718,347.29
