rank,score,can_id,message,signal,unit,step_time_s,step,matched,change_time_s,offset_s,before,after
32,11.841,0x401,BMS_brickVoltages,BMS_brick77,V,100.000,第三次松开制动踏板,yes,100.488500,+0.488500,3.285,3.2849
32,11.841,0x401,BMS_brickVoltages,BMS_brick77,V,130.000,第四次松开制动踏板,yes,130.488300,+0.488300,3.2849,3.285
33,11.815,0x401,BMS_brickVoltages,BMS_brick31,V,40.000,第一次松开制动踏板,yes,41.186800,+1.186800,3.2842,3.2843
33,11.815,0x401,BMS_brickVoltages,BMS_brick31,V,70.000,第二次松开制动踏板,yes,70.188100,+0.188100,3.2841,3.2842
33,11.815,0x401,BMS_brickVoltages,BMS_brick31,V,100.000,第三次松开制动踏板,yes,100.188800,+0.188800,3.284,3.2841
33,11.815,0x401,BMS_brickVoltages,BMS_brick31,V,130.000,第四次松开制动踏板,yes,130.188800,+0.188800,3.2841,3.2842
34,11.813,0x401,BMS_brickVoltages,BMS_brick55,V,40.000,第一次松开制动踏板,yes,40.346800,+0.346800,3.2836,3.2837
34,11.813,0x401,BMS_brickVoltages,BMS_brick55,V,70.000,第二次松开制动踏板,yes,70.348300,+0.348300,3.2836,3.2837
34,11.813,0x401,BMS_brickVoltages,BMS_brick55,V,100.000,第三次松开制动踏板,yes,100.349100,+0.349100,3.2834,3.2835
34,11.813,0x401,BMS_brickVoltages,BMS_brick55,V,130.000,第四次松开制动踏板,yes,130.349000,+0.349000,3.2835,3.2836
35,11.795,0x2C4,PCS_logging,PCS_dcdcCurrentLimit,A,40.000,第一次松开制动踏板,yes,39.954200,-0.045800,90.4,72.8
35,11.795,0x2C4,PCS_logging,PCS_dcdcCurrentLimit,A,70.000,第二次松开制动踏板,yes,69.351500,-0.648500,114.4,108
35,11.795,0x2C4,PCS_logging,PCS_dcdcCurrentLimit,A,100.000,第三次松开制动踏板,yes,100.849800,+0.849800,229.6,199.2
35,11.795,0x2C4,PCS_logging,PCS_dcdcCurrentLimit,A,130.000,第四次松开制动踏板,yes,130.247900,+0.247900,156,141.6
36,11.783,0x401,BMS_brickVoltages,BMS_brick54,V,40.000,第一次松开制动踏板,yes,40.346800,+0.346800,3.2833,3.2834
36,11.783,0x401,BMS_brickVoltages,BMS_brick54,V,70.000,第二次松开制动踏板,yes,70.348300,+0.348300,3.2833,3.2834
36,11.783,0x401,BMS_brickVoltages,BMS_brick54,V,100.000,第三次松开制动踏板,yes,99.348500,-0.651500,3.2832,3.2833
36,11.783,0x401,BMS_brickVoltages,BMS_brick54,V,130.000,第四次松开制动踏板,yes,129.348900,-0.651100,3.2834,3.2833
37,11.779,0x401,BMS_brickVoltages,BMS_brick7,V,40.000,第一次松开制动踏板,yes,41.026800,+1.026800,3.2844,3.2845
37,11.779,0x401,BMS_brickVoltages,BMS_brick7,V,70.000,第二次松开制动踏板,yes,70.027700,+0.027700,3.2844,3.2845
37,11.779,0x401,BMS_brickVoltages,BMS_brick7,V,100.000,第三次松开制动踏板,yes,100.028000,+0.028000,3.2842,3.2844
37,11.779,0x401,BMS_brickVoltages,BMS_brick7,V,130.000,第四次松开制动踏板,yes,129.028700,-0.971300,3.2845,3.2844
38,11.705,0x401,BMS_brickVoltages,BMS_brick0,V,40.000,第一次松开制动踏板,yes,39.987700,-0.012300,3.2843,3.2844
