time_s,signal_key,value,raw_hex
72.375800,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d b7 00
72.475700,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d bc 00
72.675700,PCS_dcdcHvBusVolt,187.646484375,14 05 d4 0d b9 00
72.975700,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d b7 00
73.075700,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d ba 00
73.475700,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d b3 00
73.675600,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d b9 00
73.775600,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d b3 00
73.875700,PCS_dcdcHvBusVolt,187.646484375,0f 05 d4 0d b2 00
73.975600,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d b7 00
74.075600,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d b5 00
74.975400,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d b7 00
75.075400,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d b4 00
75.175600,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d b4 00
75.275800,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d b8 00
75.875400,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d aa 00
75.975400,PCS_dcdcHvBusVolt,187.646484375,0e 05 d4 0d 9f 00
76.175400,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d a7 00
76.375500,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d a4 00
76.875400,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d a7 00
76.975400,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d a2 00
77.375400,PCS_dcdcHvBusVolt,178.271484375,16 05 d3 0d a5 00
77.575100,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d a5 00
77.875200,PCS_dcdcHvBusVolt,178.271484375,16 05 d3 0d a5 00
77.975100,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d a6 00
78.075100,PCS_dcdcHvBusVolt,178.271484375,14 05 d3 0d ab 00
78.175200,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d a2 00
78.375500,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d a8 00
78.475500,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d a1 00
78.575700,PCS_dcdcHvBusVolt,197.021484375,12 05 d5 0d a5 00
78.675500,PCS_dcdcHvBusVolt,187.646484375,0e 05 d4 0d a7 00
78.975200,PCS_dcdcHvBusVolt,178.271484375,14 05 d3 0d a7 00
79.175100,PCS_dcdcHvBusVolt,187.646484375,0f 05 d4 0d a2 00
79.275300,PCS_dcdcHvBusVolt,197.021484375,13 05 d5 0d a8 00
79.375200,PCS_dcdcHvBusVolt,187.646484375,0f 05 d4 0d a2 00
79.775000,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d a3 00
79.875000,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d a7 00
80.175000,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d a6 00
80.375000,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d a3 00
80.475000,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d a5 00
80.575000,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d ab 00
80.675000,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d a0 00
80.775000,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d a5 00
80.875000,PCS_dcdcHvBusVolt,197.021484375,13 05 d5 0d a6 00
80.975000,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d a2 00
81.475000,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d a7 00
81.575000,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d a4 00
81.675100,PCS_dcdcHvBusVolt,197.021484375,12 05 d5 0d a4 00
81.775100,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d a7 00
81.975100,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d a6 00
82.175000,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d a3 00
82.374900,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d a9 00
82.474900,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d a3 00
82.775100,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d a4 00
82.874900,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d a8 00
82.974900,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d a3 00
83.174900,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d a5 00
83.274900,PCS_dcdcHvBusVolt,178.271484375,16 05 d3 0d a6 00
83.374900,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d a2 00
83.674900,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d a1 00
83.775000,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d a6 00
85.074700,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d a6 00
85.175000,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d a2 00
85.674700,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d a6 00
